Division_Name,District,Assignment
First (East),1,Treatment
First (East),2,Control
First (East),3,Control
First (East),4,Control
First (East),5,Treatment
First (East),6,Treatment
First (East),7,Treatment
First (East),8,Control
Fourth (West),24,Control
Fourth (West),25,Control
Fourth (West),26,Control
Fourth (West),27,Treatment
Fourth (West),28,Treatment
Fourth (West),29,Treatment
Fourth (West),30,Treatment
Second (Southeast),10,Control
Second (Southeast),11,Control
Second (Southeast),12,Treatment
Second (Southeast),13,Treatment
Second (Southeast),14,Control
Second (Southeast),15,Treatment
Second (Southeast),16,Treatment
Second (Southeast),9,Control
Third (Central),17,Treatment
Third (Central),18,Control
Third (Central),19A,Treatment
Third (Central),19B,Treatment
Third (Central),20,Control
Third (Central),21,Control
Third (Central),22,Control
Third (Central),23,Treatment
